id|trad|simp|jyutping
1685|倒|倒|dou2
1686|倒冧|倒冧|dou2 lam3
1687|倒吊冇滴墨水|倒吊冇滴墨水|dou3 diu3 mou5 dik1 mak6 seoi2
1688|倒吊沙煲|倒吊沙煲|dou3 diu3 saa1 bou1
1689|倒吊荷包|倒吊荷包|dou3 diu3 ho4 baau1
1690|倒垃圾|倒垃圾|dou3 laap6 saap3
1691|倒塔咁早|倒塔咁早|dou2 taap3 gam3 zou2
1692|倒夜香|倒夜香|dou2 je6 hoeng1
1693|倒屎|倒屎|dou2 si2
1694|倒屎咁早|倒屎咁早|dou2 si2 gam3 zou2
1695|倒後鏡|倒后镜|dou3 hau6 geng3
1696|倒掟|倒掟|dou3 deng3
1697|倒掟頭|倒掟头|dou3 deng3 tau4
1698|倒模|倒模|dou2 mou4
1699|倒水|倒水|dou2 seoi2
1700|倒汗水|倒汗水|dou2 hon6 seoi2
1701|倒瀉|倒泻|dou3 se3
1702|倒瀉籮蟹|倒泻箩蟹|dou2 se2 lo4 haai5
1703|倒牙|倒牙|dou2 ngaa4
1704|倒瓤|倒瓤|dou2 nong4
1705|倒瓤冬瓜|倒瓤冬瓜|dou2 nong4 dung1 gwaa1
1706|倒眼|倒眼|dou3 ngaan5
1707|倒竈|倒灶|dou2 zou3
1708|倒米|倒米|dou2 mai5
1709|倒米壽星|倒米寿星|dou2 mai5 sau6 sing1
1710|倒翻轉|倒翻转|dou3 faan1 zyun3
1711|倒茶|倒茶|dou2 caa4
1712|倒褪|倒褪|dou3 tan3
1713|倒轉頭|倒转头|dou3 zyun2 tau4
1714|倔|倔|gwat6
1715|倔尾龍|倔尾龙|gwat6 mei5 lung4
1716|倔強|倔强|gwat6 koeng5
1717|倔情|倔情|gwat6 cing4
1718|倔擂槌|倔擂槌|gwat6 leoi4 ceoi4
1719|倔檑槌|倔檑槌|gwat6 leoi4 ceoi4
1720|倔篤|倔笃|gwat6 duk1
1721|倔頭|倔头|gwat6 tau4
1722|倔頭巷|倔头巷|gwat6 tau4 hong6
1723|倔頭路|倔头路|gwat6 tau4 lou6
1724|倖免|幸免|hang6 min5
1725|候命|候命|hau6 ming6
1726|候教|候教|hau6 gaau3
1727|候機室|候机室|hau6 gei1 sat1
1728|候鑊|候镬|hau6 wok6
1729|倚傍|倚傍|ji2 bong6
1730|倚憑|倚凭|ji2 pang4
1731|倚老賣老|倚老卖老|ji2 lou5 maai6 lou5
1732|借|借|ze3
1733|借一借|借一借|ze3 jat1 ze3
1734|借借|借借|ze3 ze3
1735|借咗聾耳陳隻耳|借咗聋耳陈只耳|ze3 zo2 lung4 ji5 can4 zek3 ji5
1736|借問聲|借问声|ze3 man6 seng1
1737|借啲意|借啲意|ze3 di1 ji2
1738|借尿遁|借尿遁|ze3 niu6 deon6
1739|借屎遁|借屎遁|ze3 si2 deon6
1740|借意|借意|ze3 ji3
1741|借書|借书|ze3 syu1
1742|借歪|借歪|ze3 me2
1743|借歪啲|借歪啲|ze3 me2 di1
1744|借殼|借壳|ze3 hok3
1745|借水遁|借水遁|ze3 seoi2 deon6
1746|借花敬佛|借花敬佛|ze3 faa1 ging3 fat6
1747|借鑑|借鉴|ze3 gaam3
1748|借開|借开|ze3 hoi1
1749|借頭借路|借头借路|ze3 tau4 ze3 lou6
1750|倦容|倦容|gyun6 jung4
1751|倫敦金屬交易所|伦敦金属交易所|leon4 deon1 gam1 suk6 gaau1 jik6 so2
1752|倫比|伦比|leon4 bei2
1753|倫滘糕|伦滘糕|leon4 gaau3 gou1
1754|倫理|伦理|leon4 lei5
1755|值回票價|值回票价|zik6 wui4 piu3 gaa3
1756|倾偈|倾偈|king1 gai2
1757|假|假|gaa2
1758|假使間|假使间|gaa2 si2 gaan1
1759|假假哋|假假哋|gaa2 gaa2 dei2
1760|假假地|假假地|gaa2 gaa2 dei6
1761|假單|假单|gaa3 daan1
1762|假期|假期|gaa3 kei4
1763|假膊|假膊|gaa2 bok3
1764|偈|偈|gai6
1765|偈油|偈油|gai2 jau2
1766|偉大|伟大|wai5 daai6
1767|偏幫|偏帮|pin1 bong1
1768|偏門|偏门|pin1 mun4
1769|做|做|zou6
1770|做七|做七|zou6 cat1
1771|做世界|做世界|zou6 sai3 gaai3
1772|做乜|做乜|zou6 mat1
1773|做乜嘢|做乜嘢|zou6 mat1 je5
1774|做人|做人|zou6 jan4
1775|做人世|做人世|zou6 jan4 sai3
1776|做低|做低|zou6 dai1
1777|做冬|做冬|zou6 dung1
1778|做到氣咳|做到气咳|zou6 dou3 hei3 kat1
1779|做功課|做功课|zou6 gung1 fo3
1780|做咗人豬仔|做咗人猪仔|zou6 zo2 jan4 zyu1 zai2
1781|做咩|做咩|zou6 me1
1782|做唔切|做唔切|zou6 m4 cit3
1783|做嘢|做嘢|zou6 je5
1784|做大戲|做大戏|zou6 daai6 hei3
1785|做好|做好|zou6 hou2
1786|做好做醜|做好做丑|zou6 hou2 zou6 cau2
1787|做好心|做好心|zou6 hou2 sam1
1788|做妥|做妥|zou6 to5
1789|做媒|做媒|zou6 mui4
1790|做得|做得|zou6 dak1
1791|做忌|做忌|zou6 gei6
1792|做慣乞兒懶做官|做惯乞儿懒做官|zou6 gwaan3 hat1 ji4 laan5 zou6 gun1
1793|做成|做成|zou6 sing4
1794|做手信|做手信|zou6 sau2 seon3
1795|做手腳|做手脚|zou6 sau2 goek3
1796|做把戲|做把戏|zou6 baa2 hei3
1797|做收錢|做收钱|zou6 sau1 cin2
1798|做數|做数|zou6 sou3
1799|做朋友|做朋友|zou6 pang4 jau5
1800|做東|做东|zou6 dung1
1801|做瓜|做瓜|zou6 gwaa1
1802|做生不如做熟|做生不如做熟|zou6 sang1 bat1 jyu4 zou6 suk6
1803|做百囉|做百罗|zou6 baak3 lo1
1804|做磨心|做磨心|zou6 mo4 sam1
1805|做義工|做义工|zou6 ji6 gung1
1806|做老襯|做老衬|zou6 lou5 can3
1807|做莊|做庄|zou6 zong1
1808|做賊|做贼|zou6 caak6
1809|做運動|做运动|zou6 wan6 dung6
1810|做醜人|做丑人|zou6 cau2 jan2
1811|做騷|做骚|zou6 sou1
1812|做鬼做馬|做鬼做马|zou6 gwai2 zou6 maa5
1813|做鬼都唔靈|做鬼都唔灵|zou6 gwai2 dou1 m4 ling4
1814|做龜公|做龟公|zou6 gwai1 gung1
1815|停低|停低|ting4 dai1
1816|停口|停口|ting4 hau2
1817|停學|停学|ting4 hok6
1818|停定|停定|ting4 ding6
1819|停止|停止|ting4 zi2
1820|停泊|停泊|ting4 paak3
1821|停滯|停滞|ting4 zai6
1822|停火協定|停火协定|ting4 fo2 hip3 ding6
1823|停火協議|停火协议|ting4 fo2 hip3 ji5
1824|停牌|停牌|ting4 paai4
1825|停留|停留|ting4 lau4
1826|停留時間|停留时间|ting4 lau4 si4 gaan3
1827|停經|停经|ting4 ging1
1828|停薪|停薪|ting4 san1
1829|停車|停车|ting4 ce1
1830|停車位|停车位|ting4 ce1 wai2
1831|停車標誌|停车标志|ting4 ce1 biu1 zi3
1832|健全|健全|gin6 cyun4
1833|健力士世界紀錄|健力士世界纪录|gin6 lik6 si6 sai3 gaai3 gei2 luk6
1834|健在|健在|gin6 zoi6
1835|健將|健将|gin6 zoeng3
1836|健步|健步|gin6 bou6
1837|健美|健美|gin6 mei5
1838|健身操|健身操|gin6 san1 cou1
1839|偪|逼|bik1
1840|偪人|逼人|bik1 jan4
1841|側便|侧便|zak1 bin6
1842|側側膊|侧侧膊|zak1 zak1 bok3
1843|側側膊唔多覺|侧侧膊唔多觉|zak1 zak1 bok3 m4 do1 gok3
1844|側向|侧向|zak1 hoeng3
1845|側擊|侧击|zak1 gik1
1846|側泳|侧泳|zak1 wing6
1847|側田|侧田|zak1 tin4
1848|側線|侧线|zak1 sin3
1849|側翼|侧翼|zak1 jik6
1850|側膊|侧膊|zak1 bok3
1851|側記|侧记|zak1 gei3
1852|側跟|侧跟|zak1 gan1
1853|側身|侧身|zak1 san1
1854|側近|侧近|zak1 gan6
1855|側邊|侧边|zak1 bin1
1856|偵探小說|侦探小说|zing1 taam3 siu2 syut3
1857|偶像化|偶像化|ngau5 zoeng6 faa3
1858|偶像崇拜|偶像崇拜|ngau5 zoeng6 sung4 baai3
1859|偶發|偶发|ngau5 faat3
1860|偷呃拐騙|偷呃拐骗|tau1 ak1 gwaai2 pin3
1861|偷嘢|偷嘢|tau1 je5
1862|偷師|偷师|tau1 si1
1863|偷步|偷步|tau1 bou6
1864|偷渡客|偷渡客|tau1 dou6 haak3
1865|偷睇|偷睇|tau1 tai2
1866|偷薄|偷薄|tau1 bok6
1867|偷走|偷走|tau1 zau2
1868|偷越|偷越|tau1 jyut6
1869|偷車|偷车|tau1 ce1
1870|偷錢|偷钱|tau1 cin2
1871|偷雞|偷鸡|tau1 gai1
1872|偷雞唔到蝕揸米|偷鸡唔到食揸米|tau1 gai1 m4 dou2 sit6 zaa1 mai5
1873|偷食|偷食|tau1 sik6
1874|偷食唔抹嘴|偷食唔抹嘴|tau1 sik6 m4 maat3 zeoi2
1875|偷龍轉鳳|偷龙转凤|tau1 lung4 zyun2 fung6
1876|傀儡政府|傀儡政府|faai3 leoi5 zing3 fu2
1877|傅穎|傅颖|fu6 wing6
1878|傍友|傍友|bong6 jau2
1879|傍家|傍家|pong4 gaa1
1880|傍水|傍水|bong6 seoi2
1881|傑志|杰志|git6 zi3
1882|傖雞|伧鸡|caang4 gai1
1883|傖雞婆|伧鸡婆|caang4 gai1 po4
1884|傘帳|伞帐|saan3 zoeng3
1885|傢俬|傢俬|gaa1 si1
1886|傢俬舖|傢俬铺|gaa1 si1 pou3
1887|傢俬雜物|傢俬杂物|gaa1 si1 zaap6 mat6
1888|傣族|傣族|taai3 zuk6
1889|𠌥|𠆿|wu1
1890|𠌥低|𠆿低|wu1 dai1
1891|催|催|ceoi1
1892|催化裂化|催化裂化|ceoi1 faa3 lit6 faa3
1893|催命符|催命符|ceoi1 meng6 fu4
1894|催命鬼|催命鬼|ceoi1 meng6 gwai2
1895|催妝|催妆|ceoi1 zong1
1896|催穀|催穀|ceoi1 guk1
1897|傭金|佣金|jung4 gam1
1898|傳信|传信|cyun4 seon3
1899|傳信鴿|传信鸽|cyun4 seon3 gap3
1900|傳奇|传奇|cyun4 kei4
1901|傳授|传授|cyun4 sau6
1902|傳播|传播|cyun4 bo3
1903|傳播媒介|传播媒介|cyun4 bo3 mui4 gaai3
1904|傳播媒體|传播媒体|cyun4 bo3 mui4 tai2
1905|傳播學|传播学|cyun4 bo3 hok6
1906|傳統|传统|cyun4 tung2
1907|傳統教育|传统教育|cyun4 tung2 gaau3 juk6
1908|傳統觀念|传统观念|cyun4 tung2 gun1 nim6
1909|傳經送寶|传经送宝|cyun4 ging1 sung3 bou2
1910|傳説|传说|cyun4 syut3
1911|傳送|传送|cyun4 sung3
1912|傳遞|传递|cyun4 dai6
1913|傴僂|伛偻|jyu2 lau4
1914|債仔|债仔|zaai3 zai2
1915|債務國|债务国|zaai3 mou6 gwok3
1916|傷|伤|soeng1
1917|傷害|伤害|soeng1 hoi6
1918|傷心|伤心|soeng1 sam1
1919|傷風|伤风|soeng1 fung1
1920|傻事|傻事|so4 si6
1921|傻人|傻人|so4 jan4
1922|傻仔|傻仔|so4 zai2
1923|傻仔水|傻仔水|so4 zi2 seoi2
1924|傻佬|傻佬|so4 lou2
1925|傻傻哋|傻傻哋|so4 so4 dei6
1926|傻傻戇戇|傻傻戆戆|so4 so4 ngong6 ngong6
1927|傻女|傻女|so4 neoi5
1928|傻妹|傻妹|so4 mui6
1929|傻婆|傻婆|so4 po4
1930|傻更|傻更|so4 gaang1
1931|傻更更|傻更更|so4 gang3 gang3
1932|傻瓜機|傻瓜机|so4 gwaa1 gei1
1933|傻豬|傻猪|so4 zyu1
1934|傻閪|傻閪|so4 hai1
1935|傻雞|傻鸡|so4 gai1
1936|傾|倾|king1
1937|傾世界|倾世界|king1 sai3 gaai3
1938|傾偈|倾偈|king1 gai2
1939|傾力|倾力|king1 lik6
1940|傾唔埋|倾唔埋|king1 m4 maai4
1941|傾唔埋欄|倾唔埋栏|king1 m4 maai4 laan4
1942|傾密偈|倾密偈|king1 mat6 gai2
1943|傾得埋|倾得埋|king1 dak1 maai4
1944|傾心|倾心|king1 sam1
1945|傾掂|倾掂|king1 dim6
1946|傾斜|倾斜|king1 ce4
1947|傾斜角|倾斜角|king1 ce4 gok3
1948|傾計|倾计|king1 gai3
1949|傾鈴哐啷|倾铃哐啷|king1 ling1 kong1 long1
1950|傾閒偈|倾间偈|king1 haan4 gai2
1951|傾電話|倾电话|king1 din6 waa2
1952|僅僅|仅仅|gan2 gan2
1953|僅次於|仅次于|gan2 ci3 jyu1
1954|僆|僆|lin5
1955|僆仔|僆仔|leng1 zai2
1956|僆女|僆女|leng1 neoi5
1957|僆妹|僆妹|leng1 mui6
1958|僆模|僆模|leng1 mou4
1959|像|像|zoeng6
1960|像是|象是|zoeng6 si6
1961|僑匯|侨汇|kiu4 wui6
1962|僑眷|侨眷|kiu4 gyun3
1963|僑領|侨领|kiu4 ling5
1964|僕從|仆从|buk6 cung4
1965|僚屬|僚属|liu4 suk6
1966|僭建|僭建|cim5 gin3
1967|僭建屋|僭建屋|cim5 gin3 uk1
1968|僱主|雇主|gu3 zyu2
1969|僱傭|雇佣|gu3 jung4
1970|僱傭兵|雇佣兵|gu3 jung4 bing1
1971|僱員|雇员|gu3 jyun4
1972|價值規律|价值规律|gaa3 zik6 kwai1 leot6
1973|價錢牌|价钱牌|gaa3 cin4 paai4
1974|僽|僽|zau3
1975|儀器|仪器|ji4 hei3
1976|儀容|仪容|ji4 jung4
1977|儀態萬方|仪态万方|ji4 taai3 maan6 fong1
1978|儆惜|儆惜|ging2 sik1
1979|儉樸|俭朴|gim6 pok3
1980|儒林|儒林|jyu4 lam4
1981|儒艮|儒艮|jyu4 gan3
1982|儕嘩嘩|侪哗哗|caai4 waa1 waa1
1983|優|优|jau1
1984|優先權|优先权|jau1 sin1 kyun4
1985|優先發展|优先发展|jau1 sin1 faat3 zin2
1986|優勝|优胜|jau1 sing3
1987|優勝者|优胜者|jau1 sing3 ze2
1988|優化組合|优化组合|jau1 faa3 zou2 hap6
1989|優客李林|优客李林|jau1 haak3 lei5 lam4
1990|優惠|优惠|jau1 wai6
1991|優惠價|优惠价|jau1 wai6 gaa3
1992|優惠待遇|优惠待遇|jau1 wai6 doi6 jyu6
1993|優生|优生|jau1 sang1
1994|優越感|优越感|jau1 jyut6 gam2
1995|儲|储|cyu5
1996|儲值|储值|cyu5 zik6
1997|儲值票|储值票|cyu5 zik6 piu3
1998|儲備基金|储备基金|cyu5 bei6 gei1 gam1
1999|儲備量|儲备量|cyu5 bei6 loeng6
2000|儲埋|储埋|cyu5 maai4
2001|儲存|储存|cyu5 cyun4
2002|儲物室|储物室|cyu5 mat6 sat1
2003|儲蓄存款|储蓄存款|cyu5 cuk1 cyun4 fun2
2004|儲蓄所|储蓄所|cyu5 cuk1 so2
2005|儲蓄銀行|储蓄银行|cyu5 cuk1 ngan4 hong4
2006|儲蓄額|储蓄额|cyu5 cuk1 ngaak6
2007|儲郵票|储邮票|cyu5 jau4 piu3
2008|儲金|储金|cyu5 gam1
2009|儲錢|储钱|cyu5 cin4
2010|儲電量|储电量|cyu5 din6 loeng6
2011|儼如|俨如|jim5 jyu4
2012|允文允武|允文允武|wan5 man4 wan5 mou5
2013|元|元|jyun4
2014|元寶蠟燭|元宝蜡烛|jyun4 bou2 laap6 zuk1
2015|元州邨|元州村|jyun4 zau1 cyun1
2016|元朗區|元朗区|jyun4 long5 keoi1
2017|元朗明渠|元朗明渠|jyun4 long5 ming4 keoi4
2018|元素符號|元素符号|jyun4 sou3 fu4 hou6
2019|元華|元华|jyun4 waa4
2020|元貝|元贝|jyun4 bui3
2021|兄弟姊妹|兄弟姊妹|hing1 dai6 zi2 mui6
2022|兄弟姐妹|兄弟姐妹|hing1 dai6 ze2 mui6
2023|充|充|cung1
2024|充份|充份|cung1 fan6
2025|充充電|充充电|cung1 cung1 din6
2026|充大班|充大班|cung1 daai6 baan1
2027|充大頭鬼|充大头鬼|cung1 daai6 tau4 gwai2
2028|充沛|充沛|cung1 pui3
2029|充闊佬|充阔佬|cung1 fut3 lou2
2030|充饑|充饥|cung1 gei1
2031|兆康|兆康|siu6 hong1
2032|兆麟苑|兆麟苑|siu6 leon4 jyun2
2033|兇徒|凶徒|hung1 tou4
2034|兇暴|凶暴|hung1 bou6
2035|先一排|先一排|sin1 jat1 paai4
2036|先使未來錢|先使未来钱|sin1 sai2 mei6 loi4 cin4
2037|先嗰排|先嗰排|sin1 go2 paai4
2038|先小人,後君子|先小人,后君子|sin1 siu2 jan4 hau6 gwan1 zi2
2039|先手|先手|sin1 sau2
2040|先排|先排|sin1 paai2
2041|先敬羅衣後敬人|先敬罗衣后敬人|sin1 ging3 lo4 ji1 hau6 ging3 jan4
2042|先時|先时|sin1 si4
2043|先生|先生|sin1 saang1
2044|先知|先知|sin1 zi1
2045|先禮後兵|先礼后兵|sin1 lai5 hau6 bing1
2046|先考|先考|sin1 haau2
2047|先至|先至|sin1 zi3
2048|先行|先行|sin1 hang4
2049|先行官|先行官|sin1 hang4 gun1
2050|先遣|先遣|sin1 hin2
2051|光|光|gwong1
2052|光天化日|光天化日|gwong1 tin1 faa3 jat6
2053|光孝寺|光孝寺|gwong1 haau3 zi6
2054|光學玻璃|光学玻璃|gwong1 hok6 bo1 lei4
2055|光害|光害|gwong1 hoi6
2056|光彩|光彩|gwong1 coi2
2057|光明|光明|gwong1 ming4
2058|光明頂|光明顶|gwong1 ming4 deng2
2059|光暈|光晕|gwong1 wan4
2060|光暗掣|光暗掣|gwong1 ngam3 zai3
2061|光棍佬教仔|光棍佬教仔|gwong1 gwan3 lou2 gaau3 zai2
2062|光棍遇着冇皮柴|光棍遇着冇皮柴|gwong1 gwan3 jyu6 zoek6 mou5 pei4 caai4
2063|光油|光油|gwong1 jau4
2064|光猛|光猛|gwong1 maang5
2065|光瓦|光瓦|gwong1 ngaa5
2066|光瞠瞠|光瞠瞠|gwong1 caang1 caang1
2067|光𥋇𥋇|光𥋇𥋇|gwong1 caang4 caang4
2068|光管|光管|gwong1 gun2
2069|光脫脫|光脫脫|gwong1 tyut1 tyut1
2070|光譜線|光谱线|gwong1 pou2 sin3
2071|光身|光身|gwong1 san1
2072|光輝歲月|光辉岁月|gwong1 fai1 seoi3 jyut6
2073|光陰|光阴|gwong1 jam1
2074|光電池|光电池|gwong1 din6 ci4
2075|光頭|光头|gwong1 tau4
2076|光頭仔|光头仔|gwong1 tau4 zai2
2077|光頭佬|光头佬|gwong1 tau4 lou2
2078|克|克|hak1
2079|克力架|克力架|hak1 lik6 gaa2
2080|克復|克复|haak1 fuk6
2081|克敵|克敌|haak1 dik6
2082|克敵制勝|克敌制胜|hak1 dik6 zai3 sing3
2083|免刑|免刑|min5 jing4
2084|免役|免役|min5 jik6
2085|免治|免治|min5 zi6
2086|免疫|免疫|min5 jik6
2087|免票|免票|min5 piu3
2088|免禮|免礼|min5 lai5
2089|免稅店|免稅店|min5 seoi3 dim3
2090|免罪|免罪|min5 zeoi6
2091|免至|免至|min5 zi3
2092|免費|免费|min5 fai3
2093|兒|儿|ji4
2094|兒嬉|儿嬉|ji4 hei1
2095|兒戲|儿戏|ji4 hei1
2096|兒歌|儿歌|ji4 go1
2097|兒科醫生|儿科医生|ji4 fo1 ji1 sang1
2098|兒童不宜|儿童不宜|ji4 tung4 bat1 ji4
2099|兒童節|儿童节|ji4 tung4 zit3
2100|兔仔|兔仔|tou3 zai2
2101|兜|兜|dau1
2102|兜住|兜住|dau1 zyu6
2103|兜口兜面|兜口兜面|dau1 hau2 dau1 min6
2104|兜巴星|兜巴星|dau1 baa1 sing1
2105|兜搭|兜搭|dau1 daap3
2106|兜篤將軍|兜笃将军|dau1 duk1 zoeng1 gwan1
2107|兜路|兜路|dau1 lou6
2108|兜踎|兜踎|dau1 mau1
2109|入伙|入伙|jap6 fo2
2110|入伙紙|入伙纸|jap6 fo2 zi2
2111|入來|入来|jap6 loi4
2112|入侵|入侵|jap6 cam1
2113|入便|入便|jap6 bin6
2114|入內|入内|jap6 noi6
2115|入冊|入册|jap6 caak3
2116|入到|入到|jap6 dou3
2117|入到去|入到去|jap6 dou3 heoi3
2118|入去|入去|jap6 heoi3
2119|入口|入口|jap6 hau2
2120|入嚟|入嚟|jap6 lei4
2121|入嚟啦|入嚟啦|jap6 lai4 laa1
2122|入城|入城|jap6 sing4
2123|入境事務處|入境事务处|jap6 ging2 si6 mou6 cyu3
2124|入境問禁|入境问禁|jap6 ging2 man6 gam3
2125|入寇|入寇|jap6 kau3
2126|入席|入席|jap6 zik6
2127|入廠|入厂|jap6 cong2
2128|入廠大修|入厂大修|jap6 cong2 daai6 sau1
2129|入心|入心|jap6 sam1
2130|入數|入数|jap6 sou3
2131|入水|入水|jap6 seoi2
2132|入油|入油|jap6 jau4
2133|入流|入流|jap6 lau4
2134|入港|入港|jap6 gong2
2135|入牆櫃|入墙柜|jap6 coeng4 gwai6
2136|入紙|入纸|jap6 zi2
2137|入罪|入罪|jap6 zeoi6
2138|入耳|入耳|jap6 ji5
2139|入肉|入肉|jap6 juk6
2140|入行|入行|jap6 hong4
2141|入讀|入读|jap6 duk6
2142|入貨|入货|jap6 fo3
2143|入錢|入钱|jap6 cin4
2144|入閘|入闸|jap6 zaap6
2145|入闈|入闱|jap6 wai4
2146|入電油|入电油|jap6 din6 jau4
2147|入面|入面|jap6 min6
2148|入魔|入魔|jap6 mo1
2149|入黑|入黑|jap6 haak1
2150|內分泌系統|内分泌系统|noi6 fan1 bei3 hai6 tung2
2151|內功|内功|noi6 gung1
2152|內助|内助|noi6 zo6
2153|內含子|内含子|noi6 ham4 zi2
2154|內地|内地|noi6 dei6
2155|內外交困|内外交困|noi6 ngoi6 gaau1 kwan3
2156|內應|内应|noi6 jing3
2157|內服|内服|noi6 fuk6
2158|內櫃|內柜|noi6 gwai6
2159|內河|内河|noi6 ho4
2160|內籠|內笼|noi6 lung4
2161|內線|内线|noi6 sin3
2162|內聚力|内聚力|noi6 zeoi6 lik6
2163|全名|全名|cyun4 meng2
2164|全國政協|全国政协|cyun4 gwok3 zing3 hip3
2165|全息|全息|cyun4 sik1
2166|全權處理|全权处理|cyun4 kyun4 cyu2 lei5
2167|全然不同|全然不同|cyun4 jin4 bat1 tung4
2168|全然不知|全然不知|cyun4 jin4 bat1 zi1
2169|全璧|全璧|cyun4 bik3
2170|全盒|全盒|cyun4 hap6
2171|全能冠軍|全能冠军|cyun4 nang4 gun3 gwan1
2172|全身裙|全身裙|cyun4 san1 kwan4
2173|全部|全部|cyun4 bou6
2174|全音符|全音符|cyun4 jam1 fu4
2175|全額|全额|cyun4 ngaak6
2176|兩仔乸|两仔乸|loeng5 zai2 naa2
2177|兩仔爺|两仔爷|loeng5 zai2 je4
2178|兩份|两份|loeng5 fan6
2179|兩便|两便|loeng5 bin6
2180|兩個文明|两个文明|loeng5 go3 man4 ming4
2181|兩公婆|两公婆|loeng5 gung1 po2
2182|兩公婆見鬼|两公婆见鬼|loeng5 gung1 po4 gin3 gwai2
2183|兩公孫|两公孙|loeng5 gung1 syun1
2184|兩口|两口|loeng5 hau2
2185|兩可|两可|loeng5 ho2
2186|兩婆孫|两婆孙|loeng5 po4 syun1
2187|兩家|两家|loeng5 gaa1
2188|兩岸四地|两岸四地|loeng5 ngon6 sei3 dei6
2189|兩岸關係|两岸关系|loeng5 ngon6 gwaan1 hai6
2190|兩手|两手|loeng5 sau2
2191|兩摳|两抠|loeng5 kau1
2192|兩撇雞|两撇鸡|loeng5 pit3 gai1
2193|兩文三語|两文三语|loeng5 man4 saam1 jyu5
2194|兩方面|两方面|loeng5 fong1 min6
2195|兩梳蕉|两梳蕉|loeng5 so1 ziu1
2196|兩極管|两极管|loeng5 gik6 gun2
2197|兩睇|两睇|loeng5 tai2
2198|兩粒|两粒|loeng5 nap1
2199|兩粵|两粤|loeng5 jyut6
2200|兩重性|两重性|loeng5 cung4 sing3
2201|兩頭唔到岸|两头唔到岸|loeng5 tau4 m4 dou3 ngon6
2202|兩頭蛇|两头蛇|loeng5 tau4 se4
2203|兩點|两点|loeng5 dim2
2204|八|八|baat3
2205|八九|八九|baat3 gau2
2206|八九民運|八九民运|baat3 gau2 man4 wan6
2207|八仙嶺|八仙岭|baat3 sin1 leng5
2208|八個字|八个字|baat3 go3 zi6
2209|八公|八公|baat3 gung1
2210|八十八|八十八|baat3 sap6 baat3
2211|八十年代|八十年代|baat3 sap6 nin4 doi6
2212|八十歲返頭嫁|八十岁返头嫁|baat3 sap6 seoi3 faan1 tau4 gaa3
2213|八千|八千|baat3 cin1
2214|八卦|八卦|baat3 gwaa3
2215|八卦公|八卦公|baat3 gwaa3 gung1
2216|八卦妹|八卦妹|baat3 gwaa3 mui1
2217|八卦婆|八卦婆|baat3 gwaa3 po2
2218|八卦新聞|八卦新闻|baat3 gwaa3 san1 man4
2219|八卦週刊|八卦周刊|baat3 gwaa3 zau1 hon2
2220|八卦雜誌|八卦杂志|baat3 gwaa3 zaap6 zi3
2221|八妹|八妹|baat3 mui1
2222|八婆|八婆|baat3 po4
2223|八字波|八字波|baat3 zi6 bo1
2224|八寶飯|八宝饭|baat3 bou2 faan6
2225|八年|八年|baat3 nin4
2226|八日|八日|baat3 jat6
2227|八月十五|八月十五|baat3 jyut6 sap6 ng5
2228|八珍|八珍|baat3 zan1
2229|八節|八节|baat3 zit3
2230|八股文|八股文|baat3 gu2 man4
2231|八角|八角|baat3 gok3
2232|八陣圖|八阵图|baat3 zan6 tou4
2233|公|公|gung1
2234|公一份婆一份|公一份婆一份|gung1 jat1 fan6 po4 jat1 fan6
2235|公主病|公主病|gung1 zyu2 beng6
2236|公主道|公主道|gung1 zyu2 dou3
2237|公事|公事|gung1 si6
2238|公事包|公事包|gung1 si6 baau1
2239|公事喼|公事喼|gung1 si6 gep1
2240|公仔|公仔|gung1 zai2
2241|公仔佬|公仔佬|gung1 zai2 lou2
2242|公仔書|公仔书|gung1 zai2 syu1
2243|公仔箱|公仔箱|gung1 zai2 soeng1
2244|公仔紙|公仔纸|gung1 zai2 zi2
2245|公公婆婆|公公婆婆|gung1 gung1 po4 po4
2246|公共場所|公共场所|gung1 gung6 coeng4 so2
2247|公共屋邨|公共屋村|gung1 gung6 uk1 cyun1
2248|公共廁所|公共厕所|gung1 gung6 ci3 so2
2249|公共房屋|公共房屋|gung1 gung6 fong4 uk1
2250|公共電話|公共电话|gung1 gung6 din6 waa2
2251|公務員|公务员|gung1 mou6 jyun4
2252|公務員事務局|公务员事务局|gung1 mou6 jyun4 si6 mou6 guk6
2253|公司|公司|gung1 si1
2254|公司三文治|公司三文治|gung1 si1 saam1 man4 zi6
2255|公告|公告|gung1 gou3
2256|公告欄|公告栏|gung1 gou3 laan4
2257|公因數|公因数|gung1 jan1 sou3
2258|公園前站|公园前站|gung1 jyun4 cin4 zaam6
2259|公契|公契|gung1 kai3
2260|公娼|公娼|gung1 coeng1
2261|公安人員|公安人员|gung1 on1 jan4 jyun4
2262|公屋|公屋|gung1 uk1
2263|公帑|公帑|gung1 tong2
2264|公平|公平|gung1 ping4
2265|公廁|公厕|gung1 ci3
2266|公所|公所|gung1 so2
2267|公援|公援|gung1 jyun4
2268|公數|公数|gung1 sou3
2269|公死有肉食，婆死有肉食|公死有肉食，婆死有肉食|gung1 sei2 jau5 juk6 ji6 sik6 ，po4 sei2 jau5 juk6 sik6
2270|公民抗命|公民抗命|gung1 man4 kong3 ming6
2271|公民教育|公民教育|gung1 man4 gaau3 juk6
2272|公民黨|公民党|gung1 man4 dong2
